z_re,z_im,w_re,w_im
-3.0,-3.0,10.241624007094766,-2.046468448823301
-3.0,-2.8983050847457625,10.221900536047743,-2.015261087936649
-3.0,-2.7966101694915255,10.203069580136036,-1.98391946869343
-3.0,-2.694915254237288,10.185153869001194,-1.952432210873666
-3.0,-2.593220338983051,10.168174080473625,-1.920783095731192
-3.0,-2.4915254237288136,10.152148923870598,-1.888949973040957
-3.0,-2.389830508474576,10.137095363232666,-1.8569034820755075
-3.0,-2.288135593220339,10.123029016312588,-1.8246055681263322
-3.0,-2.1864406779661016,10.109964770128142,-1.7920077806962085
-3.0,-2.084745762711864,10.097917658772989,-1.7590493483322351
-3.0,-1.9830508474576272,10.086904053379028,-1.72565504041926
-3.0,-1.8813559322033897,10.076943216633618,-1.6917328510670204
-3.0,-1.7796610169491525,10.068059273391361,-1.6571715783456096
-3.0,-1.6779661016949152,10.060283642001743,-1.6218384282281062
-3.0,-1.5762711864406778,10.05365795395536,-1.5855768517790096
-3.0,-1.4745762711864405,1.5867763565648416,-2.432368585204152
-3.0,-1.3728813559322033,1.5826337374555508,-2.3936784170279966
-3.0,-1.271186440677966,1.579863220844891,-2.353437108330672
-3.0,-1.1694915254237288,1.5785846590117991,-2.3113901507266896
-3.0,-1.0677966101694913,1.5789471713133052,-2.2672680789141593
-3.0,-0.9661016949152543,1.5811316818815926,-2.22079733407396
-3.0,-0.8644067796610169,1.585351505839057,-2.1717160718581177
-3.0,-0.7627118644067794,1.5918499992152477,-2.1197951485487634
-3.0,-0.6610169491525424,1.600894319276947,-2.064863601432346
-3.0,-0.5593220338983049,1.612764655016834,-2.006836625029739
-3.0,-0.45762711864406747,1.627738962372904,-1.9457425455187618
-3.0,-0.35593220338983045,1.6460742432327367,-1.8817440696669232
-3.0,-0.254237288135593,1.667986529096494,-1.8151487551583623
-3.0,-0.15254237288135553,2.339349935732269,-5.9557530885930055
-3.0,-0.05084745762711851,2.3688138641956447,-5.88542871512992
-3.0,0.05084745762711895,2.40210104127185,-5.8141780794487765
-3.0,0.15254237288135597,2.4391402906421473,-5.742697774207751
-3.0,0.25423728813559343,2.4797934322543087,-5.6716817236812584
-3.0,0.3559322033898309,2.5238699272731893,-5.601780801561062
-3.0,0.4576271186440679,2.571143717562644,-5.533571990138355
-3.0,0.5593220338983054,2.621369564546952,-5.467539172550884
-3.0,0.6610169491525424,2.674296963562134,-5.404065187532347
-3.0,0.7627118644067798,2.7296806650479946,-5.343433125275628
-3.0,0.8644067796610173,2.7872876659513226,-5.285834139661253
-3.0,0.9661016949152543,2.846901091873887,-5.231379099022455
-3.0,1.0677966101694913,1.8041927962159692,2.010855739097328
-3.0,1.1694915254237293,1.6157416662130462,-2.0481584848574848
-3.0,1.2711864406779663,1.6802469464955387,-2.003196349471428
-3.0,1.3728813559322033,1.746060333696874,-1.9612800009290359
-3.0,1.4745762711864412,1.813042972955166,-1.9223072216620072
-3.0,1.5762711864406782,1.8810667255661926,-1.886162473100103
-3.0,1.6779661016949152,1.9500125912431105,-1.8527229848327338
-3.0,1.7796610169491531,2.0197694018960775,-1.821863464469625
-3.0,1.8813559322033901,2.090232791169264,-1.7934596172636554
-3.0,1.9830508474576272,1.75164055753656,-6.634216768129042
-3.0,2.084745762711865,1.8232275238234195,-6.610367135554734
-3.0,2.186440677966102,1.8952419919080694,-6.588627486036375
-3.0,2.288135593220339,1.9676008918820953,-6.568895220990161
-3.0,2.389830508474577,2.04022573113886,-6.551074588684166
-3.0,2.491525423728814,2.1130424549887756,-6.535076500696615
-3.0,2.593220338983051,2.1859813376797086,-6.520818147191443
-3.0,2.694915254237289,2.258976886391708,-6.508222484844808
-3.0,2.796610169491526,2.331967746429841,-6.497217656592572
-3.0,2.898305084745763,2.404896600401298,-6.487736389136634
-3.0,3.0,2.477710057636738,-6.479715402475868
-2.8983050847457625,-3.0,10.16370258239068,-2.039758789494244
-2.8983050847457625,-2.8983050847457625,10.142995390964874,-2.008523627924425
-2.8983050847457625,-2.7966101694915255,10.123191464242181,-1.9771867571823103
-2.8983050847457625,-2.694915254237288,10.104312577341805,-1.9457409176030245
-2.8983050847457625,-2.593220338983051,10.086377721734632,-1.9141741747989731
-2.8983050847457625,-2.4915254237288136,10.06940308451691,-1.8824687310942192
-2.8983050847457625,-2.389830508474576,10.053402172006958,-1.8505995049560928
-2.8983050847457625,-2.288135593220339,10.038386119964004,-1.8185324449455722
-2.8983050847457625,-2.1864406779661016,10.024364240196135,-1.7862225452306142
-2.8983050847457625,-2.084745762711864,10.011344861545252,-1.753611534006061
-2.8983050847457625,-1.9830508474576272,9.999336531913638,-1.7206252167385587
