# re(psi) im(psi) re(|psi|^2) im(|psi|^2)
0.00033546262790251185 -0.0018976631921962055 3.713660765735552e-06 0.0
0.0003933542313630609 -0.002202896079689521 5.007478689242684e-06 0.0
0.00046049894189605014 -0.0025528758884243875 6.7292345771859875e-06 0.0
0.0005382432297832624 -0.002953420596610153 9.01239899488859e-06 0.0
0.0006281070149764975 -0.003410985443333543 1.2029340116896013e-05 0.0
0.0007318024188804728 -0.003932714641881165 1.6001779234745812e-05 0.0
0.0008512540013104993 -0.004526494625828049 2.1213786972397346e-05 0.0
0.0009886205206735478 -0.005201008439962002 2.802785932645281e-05 0.0
0.0011463182433300554 -0.005965790807968083 3.690470547942778e-05 0.0
0.001327045813650574 -0.006831283322700494 4.842748242653342e-05 0.0
0.001533810679324463 -0.007808889113328045 6.333132438426303e-05 0.0
0.0017699570468628133 -0.008911026247348752 8.25391367286777e-05 0.0
0.002039195319842281 -0.010151179025323408 0.00010720475315663256 0.0
0.0023456329471668582 -0.011543946223289255 0.0001387646883290289 0.0
0.0026938065804214925 -0.013105085233520358 0.00017899985287055548 0.0
0.0030887154082367718 -0.01485155095017326 0.0002301087284986715 0.0
0.0035358555015075786 -0.016801528144207094 0.0002947936221081245 0.0
0.004041254966394719 -0.018974455973843684 0.00037636172120674225 0.0
0.004611509662433039 -0.021391043185017798 0.0004788427499100097 0.0
0.005253819200985383 -0.024073272473258647 0.0006071250637683952 0.0
0.0059760228950059375 -0.027044392406942477 0.000767112010302323 0.0
0.006786635284974866 -0.030328895254736355 0.0009659003058640353 0.0
0.007694880818387471 -0.033952479020329406 0.0012119820224350958 0.0
0.008710727211861743 -0.03794199196833355 0.001515471523084556 0.0
0.009844916976392443 -0.042325357929692005 0.001888358314148602 0.0
0.011108996538242306 -0.0471314807062141 0.0023447862776469113 0.0
0.01251534234122367 -0.05239012595503425 0.0029013590915023795 0.0
0.014077183271574843 -0.05813177902780457 0.003577470821799006 0.0
0.015808618705241848 -0.06438747736897349 0.0043956596673077955 0.0
0.017724631440177767 -0.07118861624496965 0.005381981642563696 0.0
0.019841094744370298 -0.07856672678349043 0.006566399598126711 0.0
0.022174772724855216 -0.08655322555088622 0.007983181398661566 0.0
0.024743313205154313 -0.0951791351867467 0.009671299323265367 0.0
0.027565232289593376 -0.10447477594847267 0.011674820840662804 0.0
0.030659889794007557 -0.11446942839433179 0.01404327887910574 0.0
0.03404745473459938 -0.12519096784988168 0.016832007605094703 0.0
0.03774886009129898 -0.1366654717574131 0.02010242760886874 0.0
0.04178574609992927 -0.14891680149796457 0.023922262345511938 0.0
0.04618039137973475 -0.16196616079619777 0.028365665791045273 0.0
0.05095563127019423 -0.1758316333646827 0.03351323964983619 0.0
0.056134762834133725 -0.19052770300950977 0.0394519172125244 0.0
0.0617414360834291 -0.20606475999620177 0.0462746902419364 0.0
0.06779953109924777 -0.22244859805517495 0.054080155193990655 0.0
0.0743330208507896 -0.23967990698011513 0.06297185579880056 0.0
0.08136581966452526 -0.2577537663303122 0.07305740066714124 0.0
0.0889216174593863 -0.2766591462782759 0.08444733727101791 0.0
0.09702370004128698 -0.2963784221352153 0.0972537674770615 0.0
0.10569475594148853 -0.3168869095272348 0.11158869486325272 0.0
0.11495667048603503 -0.33815242757213976 0.12756210036216606 0.0
0.12483030799583289 -0.36013489770835166 0.1452797503417394 0.0
0.1353352832366127 -0.38278598604164377 0.16484074999860768 0.0
0.1464897234623658 -0.40604879719077336 0.1863348647801542 0.0
0.15831002262193877 -0.42985762761895163 0.20983964328475208 0.0
0.1708105895230649 -0.45413778632486873 0.2354173864612691 0.0
0.1840035919677199 -0.4788054905264508 0.26311201961529834 0.0
0.19789869908361474 -0.503767843596072 0.2929459353404235 0.0
0.21250282427502212 -0.5289229019928882 0.32491688657743933 0.0
0.22781987139800913 -0.5541598372837533 0.35899501906216136 0.0
0.24385048692652458 -0.5793591985486607 0.39512014091724956 0.0
0.26059182101268913 -0.6043932795322213 0.43319933352242324 0.0
0.2780373004531941 -0.6291265938344164 0.47310501151299444 0.0
0.2961764166502667 -0.65341646023972 0.514673540291998 0.0
0.31499453169676334 -0.6771136989743654 0.5577045163376106 0.0
0.33447270571756405 -0.7000634382707182 0.6019608084734478 0.0
0.35458754856089897 -0.7221060291217706 0.6471694468884392 0.0
0.37531109885139957 -0.743078064546718 0.6930234309315414 0.0
0.39661073328996505 -0.7628134980819135 0.7391845066167692 0.0
0.4184491089130355 -0.7811448545838315 0.7852869405929087 0.0
0.44078414080532463 -0.7979045248075034 0.830942289493776 0.0
0.46356901749599866 -0.8129261336321267 0.8757451327242839 0.0
0.48675225595997185 -0.8260459702731507 0.9192797036866329 0.0
0.5102777977955036 -0.8371044673755216 0.9611273202230846 0.0
0.534085147759517 -0.8459477145543732 1.0008744808170724 0.0
0.5581095554166826 -0.8524289907651145 1.0381214601442388 0.0
0.5822822402018133 -0.8564102988712884 1.0724912072672517 0.0
0.6065306597126334 -0.8577638849607069 1.103638323514327 0.0
0.6307788205474283 -0.8563737243608427 1.1312578762268655 0.0
0.6549476304858832 -0.8521369559430778 1.155093790363008 0.0
0.678955290288568 -0.8449652461985281 1.174946553494173 0.0
0.7027177228683977 -0.8347860647283578 1.1906799718980043 0.0
0.726149037073691 -0.8215438532270217 1.202226726818151 0.0
0.7491620228249929 -0.8052010707514148 1.2095925007824602 0.0
0.7716686738745263 -0.7857390990613072 1.2128584740329447 0.0
0.7935807340157669 -0.7631589930805032 1.2121820301206507 0.0
0.8148102621687293 -0.7374820630526685 1.2077955566598937 0.0
0.835270211411272 -0.7087502767344381 1.2000032808421737 0.0
0.8548750167246695 -0.6770264719601343 1.1891761379547905 0.0
0.8735411859788501 -0.6423943721014395 1.1757447329089388 0.0
0.8911878885041844 -0.6049583993017245 1.1601905175022513 0.0
0.9077375354868296 -0.5648432828546653 1.1430353675177387 0.0
0.9231163463866359 -0.522193462683312 1.124829801435399 0.0
0.9372548956126777 -0.47717229051937005 1.1061401341894335 0.0
0.950088633802627 -0.42996103404166386 1.0875349028751191 0.0
0.9615583782382694 -0.38075769186505065 1.0695709346746116 0.0
0.9716107671891228 -0.32977562983358016 1.0527794489499702 0.0
0.9801986733067554 -0.27724205152210524 1.037652594284509 0.0
0.9872815715902905 -0.22339631814784222 1.0246308165638058 0.0
0.9928258579038134 -0.1684881351986733 1.0140914358251696 0.0
0.9968051145430329 -0.11277562496237001 1.006338777964802 0.0
0.9992003199146837 -0.0565233057580353 1.0015961634114225 0.0
1.0 0.0 1.0 0.0
0.9992003199146837 0.0565233057580353 1.0015961634114225 0.0
0.9968051145430329 0.11277562496237001 1.006338777964802 0.0
0.9928258579038134 0.1684881351986733 1.0140914358251696 0.0
0.9872815715902905 0.22339631814784222 1.0246308165638058 0.0
0.9801986733067553 0.27724205152210585 1.037652594284509 0.0
0.9716107671891226 0.3297756298335807 1.0527794489499702 0.0
0.9615583782382693 0.3807576918650512 1.0695709346746118 0.0
0.9500886338026268 0.4299610340416643 1.0875349028751191 0.0
0.9372548956126776 0.4771722905193706 1.106140134189434 0.0
0.9231163463866356 0.5221934626833126 1.1248298014353992 0.0
0.9077375354868294 0.5648432828546658 1.143035367517739 0.0
0.8911878885041843 0.6049583993017249 1.1601905175022516 0.0
0.87354118597885 0.6423943721014399 1.175744732908939 0.0
0.8548750167246693 0.6770264719601348 1.1891761379547907 0.0
0.8352702114112718 0.7087502767344385 1.2000032808421737 0.0
0.8148102621687295 0.7374820630526682 1.2077955566598932 0.0
0.7935807340157669 0.7631589930805032 1.2121820301206507 0.0
0.7716686738745263 0.7857390990613072 1.2128584740329447 0.0
0.7491620228249929 0.8052010707514148 1.2095925007824602 0.0
0.726149037073691 0.8215438532270217 1.202226726818151 0.0
0.7027177228683977 0.8347860647283578 1.1906799718980043 0.0
0.678955290288568 0.8449652461985281 1.174946553494173 0.0
0.6549476304858832 0.8521369559430778 1.155093790363008 0.0
0.6307788205474283 0.8563737243608427 1.1312578762268655 0.0
0.6065306597126334 0.8577638849607069 1.103638323514327 0.0
0.5822822402018133 0.8564102988712884 1.0724912072672517 0.0
0.5581095554166826 0.8524289907651145 1.0381214601442388 0.0
0.534085147759517 0.8459477145543732 1.0008744808170724 0.0
0.5102777977955036 0.8371044673755216 0.9611273202230846 0.0
0.48675225595997157 0.8260459702731506 0.9192797036866326 0.0
0.4635690174959984 0.8129261336321264 0.8757451327242831 0.0
0.44078414080532435 0.7979045248075031 0.8309422894937752 0.0
0.4184491089130352 0.7811448545838312 0.7852869405929079 0.0
0.3966107332899648 0.7628134980819132 0.7391845066167686 0.0
0.37531109885139935 0.7430780645467179 0.6930234309315411 0.0
