# re(r) im(r) re(|r|^2) im(|r|^2)
0.0 -0.0 0.0 0.0
-0.00992525425805662 -0.004901360127435364 0.00012253400318588424 0.0
-0.019702066314272005 -0.009610764055742432 0.00048053820278712235 0.0
-0.029332076805277444 -0.014135940629049357 0.0010601955471787033 0.0
-0.03881700554528654 -0.018484288354898334 0.0018484288354898362 0.0
-0.04815864022662893 -0.022662889518413595 0.002832861189801703 0.0
-0.05735882614495336 -0.026678523788350374 0.004001778568252562 0.0
-0.0664194568655252 -0.030537681317482825 0.005344094230559501 0.0
-0.07534246575342463 -0.03424657534246576 0.006849315068493147 0.0
-0.08412981829639743 -0.037811154290515715 0.008507509715366032 0.0
-0.09278350515463915 -0.041237113402061855 0.010309278350515459 0.0
-0.10130553587693553 -0.04452990587997167 0.012245724116992207 0.0
-0.10969793322734499 -0.047694753577106515 0.014308426073131954 0.0
-0.11796272807103134 -0.050736657234852184 0.016489413601326962 0.0
-0.12610195477194328 -0.053660406285933306 0.018781142200076657 0.0
-0.13411764705882356 -0.05647058823529413 0.021176470588235304 0.0
-0.14201183431952663 -0.05917159763313609 0.02366863905325444 0.0
-0.14978653828685623 -0.0617676446543737 0.026251248978108828 0.0
-0.1574437700821135 -0.06426276329882186 0.02891824348446982 0.0
-0.1649855275852995 -0.06666081922638366 0.03166388913253222 0.0
-0.17241379310344826 -0.06896551724137932 0.03448275862068965 0.0
-0.17973053131090583 -0.07118040843996272 0.037369714430980416 0.0
-0.1869376874375208 -0.07330889703432189 0.04031989336887703 0.0
-0.19403718568269307 -0.0753542468670653 0.04332869194856252 0.0
-0.20103092783505153 -0.07731958762886597 0.04639175257731958 0.0
-0.20792079207920794 -0.07920792079207921 0.049504950495049514 0.0
-0.21470863197257717 -0.08102212527267062 0.052664381427235916 0.0
-0.22139627557667255 -0.08276496283240095 0.055866349911870644 0.0
-0.22798552472858868 -0.08443908323281062 0.059107358262967445 0.0
-0.2344781544395817 -0.08604702915214005 0.06238409613530156 0.0
-0.24087591240875916 -0.0875912408759124 0.06569343065693432 0.0
-0.24718051864090224 -0.0890740607714963 0.06903239709790963 0.0
-0.2533936651583711 -0.09049773755656108 0.07239819004524889 0.0
-0.25951701579789827 -0.09186443037093743 0.07578815505602338 0.0
-0.26555220608385866 -0.09317621266100301 0.07919978076185259 0.0
-0.27150084317032047 -0.09443507588532885 0.08263069139966277 0.0
-0.2773645058448459 -0.09564293304994687 0.08607863974495217 0.0
-0.283144744587612 -0.09680162208123487 0.08954150042514226 0.0
-0.2888430816799794 -0.09791290904406083 0.09301726359185779 0.0
-0.2944610113571474 -0.09897849121248653 0.09650402893217437 0.0
-0.30000000000000004 -0.1 0.10000000000000003 0.0
-0.30546148636167725 -0.10097900375592636 0.10350347884982453 0.0
-0.3108468818247998 -0.10191701043436059 0.10701286095607862 0.0
-0.3161575706856357 -0.10281547014167015 0.11052663040229542 0.0
-0.32139491046182844 -0.10367577756833178 0.11404335532516494 0.0
-0.3265602322206096 -0.10449927431059508 0.11756168359941947 0.0
-0.3316548409246967 -0.10528725108720532 0.12108033875028609 0.0
-0.33668001579333295 -0.10604094985616788 0.12459811608099723 0.0
-0.3416370106761566 -0.10676156583629892 0.12811387900355872 0.0
-0.34652705443780496 -0.10745024943807907 0.13162655556164685 0.0
-0.3513513513513513 -0.10810810810810811 0.13513513513513511 0.0
