# re(rho) im(rho) re(|rho|^2) im(|rho|^2)
0.7071067811865475 0.0 0.4999999999999999 0.0
0.7070195471777515 0.011106750585437251 0.4999999999999999 0.0
0.70675786667505 0.02221076074636142 0.4999999999999999 0.0
0.7063218042441916 0.03330929073441818 0.5 0.0
0.7057114674770557 0.04439960215340383 0.5 0.0
0.7049270069651072 0.055478958634923636 0.4999999999999999 0.0
0.7039686162622394 0.06654462651354975 0.4999999999999999 0.0
0.7028365318370174 0.07759387550131228 0.5 0.0
0.7015310330143334 0.08862397936135694 0.49999999999999994 0.0
0.7000524419064872 0.09963221658060324 0.49999999999999983 0.0
0.6984011233337103 0.11061587104123714 0.5 0.0
0.6965774847341509 0.1215722326908724 0.4999999999999999 0.0
0.6945819760633462 0.1324985982112156 0.49999999999999994 0.0
0.692415089683201 0.14339227168506927 0.5 0.0
0.6900773602405058 0.1542505652615092 0.49999999999999994 0.0
0.6875693645350205 0.16507079981907163 0.4999999999999999 0.0
0.6848917213771574 0.17585030562678616 0.49999999999999983 0.0
0.6820450914352993 0.18658642300289185 0.49999999999999994 0.0
0.6790301770727893 0.19727650297107416 0.4999999999999999 0.0
0.6758477221746334 0.20791790791406 0.5 0.0
0.6724985119639573 0.2185080122244105 0.4999999999999999 0.0
0.6689833728082654 0.22904420295235023 0.49999999999999994 0.0
0.665303172015546 0.2395238804504734 0.4999999999999999 0.0
0.661458817620277 0.24994445901516818 0.5 0.0
0.6574512581593809 0.2603033675246002 0.5 0.0
0.6532814824381882 0.2705980500730985 0.4999999999999999 0.0
0.6489505192864646 0.2808259666017867 0.49999999999999994 0.0
0.6444594373045622 0.2909845935253051 0.5 0.0
0.6398093445997585 0.30107142435446704 0.5000000000000001 0.0
0.6350013885128474 0.3110839703146979 0.5 0.0
0.6300367553350504 0.32101976096010304 0.49999999999999994 0.0
0.624916670015317 0.33087634478301303 0.49999999999999994 0.0
0.6196423958580861 0.3406512898188569 0.4999999999999999 0.0
0.6142152342115854 0.3503421842462126 0.4999999999999999 0.0
0.608636524146743 0.35994663698188817 0.5 0.0
0.602907642126791 0.3694622782708855 0.5 0.0
0.597030001667645 0.3788867602711024 0.5 0.0
0.5910050529891391 0.38821775763262667 0.49999999999999994 0.0
0.5848342826572066 0.397452968071482 0.4999999999999999 0.0
0.5785192132170918 0.40659011293768216 0.5 0.0
0.5720614028176843 0.4156269377774534 0.49999999999999994 0.0
0.5654624448270701 0.42456121288948734 0.4999999999999999 0.0
0.558723967439391 0.43339073387508675 0.4999999999999999 0.0
0.5518476332731125 0.4421133221820671 0.4999999999999999 0.0
0.5448351389607972 0.4507268256422828 0.49999999999999994 0.0
0.5376882147304864 0.45922911900264146 0.4999999999999999 0.0
0.5304086239787925 0.46761810444947904 0.5 0.0
0.5229981628358062 0.4758917121261636 0.4999999999999999 0.0
0.51545865972193 0.48404790064380154 0.49999999999999994 0.0
0.5077919748967407 0.4920846575849199 0.5 0.0
0.5 0.49999999999999994 0.49999999999999994 0.0
0.4920846575849199 0.5077919748967405 0.4999999999999999 0.0
0.48404790064380154 0.51545865972193 0.49999999999999994 0.0
0.4758917121261636 0.5229981628358064 0.5 0.0
0.4676181044494791 0.5304086239787925 0.5 0.0
0.45922911900264146 0.5376882147304864 0.4999999999999999 0.0
0.45072682564228284 0.5448351389607972 0.5 0.0
0.44211332218206717 0.5518476332731124 0.49999999999999983 0.0
0.43339073387508675 0.558723967439391 0.4999999999999999 0.0
0.4245612128894875 0.56546244482707 0.4999999999999999 0.0
0.41562693777745346 0.5720614028176843 0.5 0.0
0.40659011293768216 0.5785192132170917 0.4999999999999999 0.0
0.39745296807148206 0.5848342826572065 0.4999999999999999 0.0
0.38821775763262656 0.5910050529891391 0.4999999999999999 0.0
0.37888676027110235 0.597030001667645 0.49999999999999994 0.0
0.3694622782708856 0.6029076421267909 0.49999999999999994 0.0
0.35994663698188806 0.608636524146743 0.4999999999999999 0.0
0.3503421842462126 0.6142152342115855 0.5000000000000001 0.0
0.3406512898188568 0.6196423958580862 0.5 0.0
0.33087634478301303 0.624916670015317 0.49999999999999994 0.0
0.3210197609601031 0.6300367553350504 0.49999999999999994 0.0
0.31108397031469787 0.6350013885128474 0.5 0.0
0.30107142435446704 0.6398093445997585 0.5000000000000001 0.0
0.29098459352530515 0.6444594373045621 0.4999999999999999 0.0
0.28082596660178666 0.6489505192864646 0.4999999999999999 0.0
0.2705980500730985 0.6532814824381882 0.4999999999999999 0.0
0.2603033675246003 0.6574512581593808 0.4999999999999999 0.0
0.24994445901516824 0.6614588176202769 0.4999999999999999 0.0
0.2395238804504735 0.665303172015546 0.4999999999999999 0.0
0.22904420295235023 0.6689833728082654 0.49999999999999994 0.0
0.21850801222441055 0.6724985119639573 0.4999999999999999 0.0
0.20791790791406012 0.6758477221746334 0.5000000000000001 0.0
0.19727650297107432 0.6790301770727893 0.49999999999999994 0.0
0.18658642300289174 0.6820450914352993 0.4999999999999999 0.0
0.17585030562678614 0.6848917213771574 0.49999999999999983 0.0
0.16507079981907172 0.6875693645350205 0.49999999999999994 0.0
0.15425056526150932 0.6900773602405057 0.49999999999999983 0.0
0.1433922716850694 0.692415089683201 0.5 0.0
0.13249859821121568 0.6945819760633462 0.49999999999999994 0.0
0.1215722326908724 0.6965774847341509 0.4999999999999999 0.0
0.11061587104123718 0.6984011233337103 0.5 0.0
0.09963221658060334 0.7000524419064872 0.49999999999999983 0.0
0.0886239793613571 0.7015310330143333 0.4999999999999998 0.0
0.07759387550131235 0.7028365318370174 0.5 0.0
0.06654462651354973 0.7039686162622394 0.4999999999999999 0.0
