# re(Fk_norm) im(Fk_norm) re(|Fk|^2) im(|Fk|^2)
1.5543122344752192e-15 0.0 2.4158865222393487e-30 0.0
0.4817536741017154 0.8763066800438635 1.0 0.0
0.8443279255020151 0.5358267949789965 1.0 0.0
0.9980267284282716 0.06279051952931324 1.0 0.0
0.9048270524660195 -0.4257792915650727 1.0 0.0
0.587785252292473 -0.8090169943749476 1.0 0.0
0.0676511739965252 -0.535514183863296 0.2913521224618801 0.0
0.36812455268467836 0.9297764858882511 0.9999999999999998 0.0
0.770513242775789 0.63742398974869 1.0 0.0
0.9822872507286887 0.18738131458572446 1.0 0.0
0.9510565162951534 -0.30901699437494784 0.9999999999999999 0.0
0.6845471059286888 -0.7289686274214113 1.0 0.0
0.24868988716485316 -0.9685831611286315 1.0 0.0
0.2486898871648527 0.9685831611286316 0.9999999999999999 0.0
0.6845471059286883 0.728968627421412 1.0000000000000002 0.0
0.9510565162951533 0.30901699437494823 1.0 0.0
0.9822872507286887 -0.18738131458572435 1.0 0.0
0.7705132427757888 -0.6374239897486902 1.0 0.0
0.36812455268467786 -0.9297764858882515 1.0 0.0
-0.1253332335643039 -0.992114701314478 1.0000000000000002 0.0
-0.5877852522924732 -0.8090169943749473 1.0 0.0
-0.90482705246602 -0.42577929156507144 0.9999999999999999 0.0
-0.9980267284282717 0.06279051952931299 1.0000000000000002 0.0
-0.8443279255020147 0.5358267949789972 1.0 0.0
-0.48175367410171377 0.8763066800438644 1.0 0.0
9.103828801926284e-15 -7.66053886991358e-15 1.4156355463223938e-28 0.0
-0.48175367410171815 -0.8763066800438619 0.9999999999999999 0.0
-0.8443279255020146 -0.5358267949789973 1.0 0.0
-0.9980267284282717 -0.06279051952931136 0.9999999999999999 0.0
-0.9048270524660204 0.4257792915650706 0.9999999999999998 0.0
-0.3562323644776598 0.49031178595374114 0.3673071449464915 0.0
-0.011406051067215817 0.09028819113586128 0.008282055459533755 0.0
-0.05962422756939245 -0.15059360854628906 0.026233483448239645 0.0
-0.09563094802676098 -0.0791128004692968 0.015404113418591828 0.0
0.11777321207867278 0.022466441752056143 0.014375270488326566 0.0
0.382016669814795 -0.12412474031212428 0.16134368717393838 0.0
0.35441981097888475 -0.377418764760864 0.2680583264079248 0.0
0.07098927582288381 -0.2764849747878151 0.08148341856527622 0.0
0.10112155722728289 0.3938424624903606 0.16533745459654176 0.0
0.6845471059286856 0.7289686274214142 0.9999999999999998 0.0
0.9510565162951532 0.309016994374949 1.0000000000000002 0.0
0.9822872507286893 -0.18738131458572196 1.0000000000000002 0.0
0.7705132427757885 -0.6374239897486907 1.0000000000000002 0.0
0.3681245526846785 -0.9297764858882511 0.9999999999999998 0.0
-0.1253332335643018 -0.9921147013144783 1.0000000000000004 0.0
-0.587785252292474 -0.8090169943749468 1.0 0.0
-0.9048270524660194 -0.42577929156507327 1.0000000000000002 0.0
-0.9980267284282714 0.06279051952931498 1.0 0.0
-0.8443279255020141 0.535826794978998 0.9999999999999998 0.0
-0.48175367410171965 0.8763066800438613 1.0 0.0
-3.0399300677588506e-15 9.103828801926284e-15 9.212087367164688e-29 0.0
-0.48175367410171405 -0.8763066800438643 1.0 0.0
-0.844327925502015 -0.5358267949789965 0.9999999999999998 0.0
-0.9980267284282714 -0.06279051952931412 0.9999999999999999 0.0
-0.9048270524660204 0.4257792915650709 1.0 0.0
-0.5877852522924657 0.8090169943749529 1.0000000000000002 0.0
-0.028706481956591756 0.2272352030042757 0.05245989959071851 0.0
-0.23254897310244305 -0.5873516597338084 0.3990609970830603 0.0
-0.7705132427757962 -0.6374239897486812 1.0 0.0
-0.9822872507286882 -0.1873813145857273 1.0 0.0
-0.9510565162951516 0.3090169943749538 1.0000000000000002 0.0
-0.6529519194658493 0.6953231711636061 0.9098205214911503 0.0
-0.08249320234505408 0.321289810413671 0.11003227070879468 0.0
-0.07917758635544353 -0.3083763387284777 0.10136505646865453 0.0
-0.5771999616523962 -0.6146555293994318 0.7109612155528233 0.0
-0.9510565162951552 -0.3090169943749422 0.9999999999999999 0.0
-0.9822872507286878 0.18738131458572896 0.9999999999999999 0.0
-0.6595290075969038 0.5456098455399985 0.7326686154119377 0.0
-0.1459850063965753 0.3687160371398556 0.15726313813672754 0.0
-0.01643624983551345 -0.13010631444321563 0.017197803366652317 0.0
-0.3516589626389185 -0.48401703834786697 0.3579365194153208 0.0
-0.811807919790891 -0.3820078102587985 0.8049620657339358 0.0
-0.9634600855375535 0.060615770693772664 0.9319296080808298 0.0
-0.673531527818449 0.4274361050579719 0.6363463428725838 0.0
-0.21443900361406798 0.3900630995276967 0.19813330788414807 0.0
-2.0872192862952943e-14 -9.880984919163893e-15 5.332822978810481e-28 0.0
-0.20579788724857487 -0.374344967209876 0.18248692487134024 0.0
-0.6202843866149539 -0.3936444417111628 0.5397086667683827 0.0
-0.8512932308373709 -0.05355883035341158 0.7275687131783547 0.0
-0.6879944615602205 0.32374561928212353 0.5781476051419033 0.0
-0.2857382408959668 0.3932849487564287 0.2363193932286683 0.0
