# re(C) im(C) re(|C|^2) im(|C|^2)
0.021614431281545787 0.0010816230668942374 0.00046835354808350276 0.0
0.026031220002131053 0.001956010395708786 0.0006814503914674687 0.0
0.031174591001603035 0.0031278923655438775 0.0009816388347676566 0.0
0.03712456193938236 0.004664891900784999 0.0013999943156370466 0.0
0.04396172132116704 0.006644164338092581 0.001976777861271534 0.0
0.05176531994065314 0.009152554633925485 0.002763417604885173 0.0
0.060611033933736146 0.012286464840925007 0.003824654652803801 0.0
0.07056841925915505 0.0161513730829154 0.00524076864919941 0.0
0.08169809433332804 0.020860948367169438 0.0071097577844750764 0.0
0.09404870581795717 0.026535712128578113 0.009549303084203419 0.0
0.10765375144519039 0.033301207728461756 0.012698300636396993 0.0
0.12252835235504597 0.04128565338789451 0.016717702306507664 0.0
0.13866608466128105 0.05061707216793565 0.02179037103014357 0.0
0.15603599470696755 0.061419914317653805 0.028119637518980743 0.0
0.17457993353490464 0.07381121202631669 0.0359262482138456 0.0
0.19421035232996092 0.08789633349144962 0.04544342639336769 0.0
0.21480870095367485 0.10376443113418937 0.05690983517400724 0.0
0.23622456534652905 0.12148370640424988 0.07056033619487057 0.0
0.25827566596002643 0.14109663938002556 0.08661458127143214 0.0
0.280748818291467 0.16261535363342552 0.10526365220937918 0.0
0.303401928232823 0.18601730392121663 0.12665516741351335 0.0
0.3259670599636222 0.21124148459624364 0.1508774889957527 0.0
0.3481545736278274 0.23818535881130468 0.17794387229004427 0.0
0.36965828558742736 0.2667027015347011 0.20777757910934386 0.0
0.390161557578993 0.29660253244439755 0.24019910326489577 0.0
0.40934417485491575 0.3276492877563161 0.27491670925487305 0.0
0.4268898297990187 0.35956434337757515 0.3115214438143819 0.0
0.4424939890504245 0.39202895646068914 0.3494876330494141 0.0
0.4558718912348497 0.4246886400623953 0.38817962221608543 0.0
0.466766401117795 0.45715892831373783 0.42686515894942356 0.0
0.4749554360810196 0.4890324298696875 0.4647353837271623 0.0
0.4802586834623548 0.5198870083333506 0.5009309044747956 0.0
0.48254334302215646 0.5492948729127329 0.534572935303214 0.0
0.48172865742481946 0.5768323138225026 0.5647980176541412 0.0
0.47778903422901203 0.60208977773913 0.590794461687447 0.0
0.47075561382988623 0.6246819514127417 0.6118383883731839 0.0
0.4607161968147363 0.6442575082285721 0.6273271509163235 0.0
0.4478135084841384 0.6605081742888903 0.6368079866833166 0.0
0.4322418446945118 0.6731767878463173 0.6400000000000001 0.0
0.41424220835946557 0.682064058206258 0.6368079866833166 0.0
0.3940961065948829 0.687033776231619 0.6273271509163236 0.0
0.3721182315219362 0.688016286247768 0.6118383883731839 0.0
0.34864829048491963 0.6850100957134794 0.5907944616874471 0.0
0.3240422818072649 0.6780815712399817 0.5647980176541413 0.0
0.29866352881253483 0.6673627438361077 0.5345729353032141 0.0
0.272873787070463 0.6530473189628905 0.5009309044747956 0.0
0.24702472788883248 0.6353850545445734 0.4647353837271622 0.0
0.22145007593440313 0.6146747292821388 0.42686515894942356 0.0
0.19645864220268844 0.5912559717414797 0.38817962221608543 0.0
0.17232844761640168 0.5655002556953755 0.349487633049414 0.0
0.14930207998648518 0.5378013878060293 0.31152144381438185 0.0
0.12758337083321192 0.5085658194783722 0.27491670925487316 0.0
0.10733542161286778 0.4782031059414856 0.24019910326489577 0.0
0.08867995408231351 0.4471168134316832 0.20777757910934383 0.0
0.07169790943003136 0.41569614151854634 0.1779438722900443 0.0
0.056431177559767155 0.384308484417103 0.15087748899575268 0.0
0.042885303164220547 0.3532931052058988 0.12665516741351338 0.0
0.03103299002487958 0.3229560430453266 0.10526365220937912 0.0
0.02081820977563693 0.29356631859457194 0.08661458127143214 0.0
0.012160716050949196 0.26535344953476436 0.07056033619487055 0.0
0.004960768861676114 0.2385062387995506 0.05690983517400723 0.0
-0.0008961138756321087 0.2131727547631019 0.04544342639336769 0.0
-0.005534541898746391 0.18946138672514937 0.03592624821384559 0.0
-0.009084915539894762 0.16744283152351946 0.028119637518980747 0.0
-0.011679478992416644 0.14715284842845983 0.021790371030143574 0.0
-0.013448847829456524 0.12859560956178784 0.016717702306507657 0.0
-0.014519065608670582 0.11174747142664172 0.01269830063639699 0.0
-0.0150092166499926 0.0965609988543874 0.00954930308420342 0.0
-0.015029596837333906 0.08296908462422783 0.007109757784475077 0.0
-0.014680422450833267 0.07088902486185347 0.005240768649199409 0.0
-0.014051039166738482 0.060226430669088976 0.0038246546528038 0.0
-0.013219579758643608 0.05087887887807703 0.0027634176048851725 0.0
-0.012253009720936186 0.04273922804696146 0.0019767778612715336 0.0
-0.011207494807468651 0.03569854865085708 0.0013999943156370468 0.0
-0.010129022946591373 0.02964863789308173 0.0009816388347676562 0.0
-0.009054214635687254 0.024484108903498517 0.0006814503914674687 0.0
-0.008011260130058647 0.020104060764234554 0.00046835354808350254 0.0
-0.007020927884062918 0.01641334948780666 0.0003186914697620954 0.0
