# re(kappa) im(kappa) re(|kappa|^2) im(|kappa|^2)
1.0 0.0 1.0 0.0
0.9998766324816606 0.004712195193546202 0.9997754849664079 0.0
0.9995065603657316 0.009423227723438487 0.9991021614348636 0.0
0.99888987496197 0.014131935212892797 0.9979806938944015 0.0
0.9980267284282716 0.018837155858794013 0.9964121890980874 0.0
0.996917333733128 0.02353772871835348 0.9943981949707877 0.0
0.99556196460308 0.028232493995554293 0.9919406990815534 0.0
0.9939609554551797 0.03292029332731358 0.9890421266821301 0.0
0.9921147013144779 0.03759997006929128 0.9857053383135272 0.0
0.9900236577165575 0.0422703695812748 0.981933626983009 0.0
0.9876883405951378 0.046930339512069257 0.9777307149142949 0.0
0.9851093261547739 0.051578730083822855 0.9731007498741725 0.0
0.9822872507286887 0.05621439437571738 0.9680483010791545 0.0
0.9792228106217657 0.060836188606953744 0.9625783546862113 0.0
0.9759167619387474 0.06544297241896276 0.9566963088720389 0.0
0.9723699203976766 0.0700336091567716 0.9504079685057073 0.0
0.9685831611286311 0.07460696614945643 0.9437195394199579 0.0
0.9645574184577981 0.07916191498961188 0.9366376222867944 0.0
0.9602936856769431 0.08369733181176878 0.9291692061034169 0.0
0.9557930147983301 0.08821209756969119 0.9213216612949255 0.0
0.9510565162951535 0.09270509831248422 0.913102732440601 0.0
0.9460853588275453 0.09717522545944482 0.9045205306309391 0.0
0.9408807689542255 0.10162137607358741 0.8955835254629841 0.0
0.9354440308298674 0.10604245313377712 0.8863005366818593 0.0
0.9297764858882515 0.11043736580540338 0.8766807254767424 0.0
0.9238795325112867 0.11480502970952693 0.8667335854398791 0.0
0.9177546256839811 0.11914436719043418 0.8564689331975534 0.0
0.9114032766354453 0.12345430758153263 0.8458968987222617 0.0
0.9048270524660196 0.1277337874695218 0.8350279153356539 0.0
0.8980275757606156 0.13198175095677453 0.8238727094121043 0.0
0.8910065241883679 0.13619714992186402 0.8124422897930754 0.0
0.8837656300886935 0.140378944278172 0.8007479369227195 0.0
0.8763066800438636 0.1445261022305146 0.7888011917154434 0.0
0.8686315144381912 0.14863760052972227 0.7766138441664189 0.0
0.8607420270039436 0.1527124247251114 0.7641979217162804 0.0
0.8526401643540923 0.15674956941478463 0.7515656773814938 0.0
