# re(psi) im(psi) re(|psi|^2) im(|psi|^2)
1.0 0.0 1.0 0.0
0.9415933458440797 0.30594222390658427 0.9801986733067553 0.0
0.7929973845689422 0.5761463244863586 0.9607894391523233 0.0
0.5704135727729136 0.7851069287560063 0.9417645335842487 0.0
0.29690026471404235 0.9137650568933828 0.9231163463866355 0.0
5.824600349847891e-17 0.951229424500714 0.9048374180359596 0.0
-0.2910212455771287 0.8956712964809658 0.8869204367171576 0.0
-0.5480473366693605 0.7543224457540864 0.8693582353988059 0.0
-0.7468168120120988 0.5425941745561749 0.8521437889662113 0.0
-0.8692002091975548 0.28242026793804825 0.835270211411272 0.0
-0.9048374180359595 1.1081062477464934e-16 0.8187307530779817 0.0
-0.8519888918933975 -0.27682797194781267 0.8025187979624785 0.0
-0.7175337059626306 -0.5213187526591447 0.7866278610665534 0.0
-0.5161315444005101 -0.7103941262977267 0.7710515858035663 0.0
-0.2686464689380471 -0.8268088147708903 0.7557837414557256 0.0
-1.5810949024943137e-16 -0.8607079764250578 0.7408182206817179 0.0
0.26332691244161793 -0.8104369033167576 0.7261490370736909 0.0
0.4958937370733883 -0.6825391741826977 0.7117703227626098 0.0
0.6757477959268741 -0.4909595119467621 0.697676326071031 0.0
0.7864848730466314 -0.2555444260420876 0.6838614092123559 0.0
0.8187307530779818 -2.005311992240905e-16 0.6703200460356392 0.0
0.7709114291361401 0.2504843073773901 0.6570468198150567 0.0
0.6492513458570006 0.471708714129827 0.6440364210831415 0.0
0.46701513400226996 0.6427911870271463 0.631283645506926 0.0
0.2430813773183803 0.7481275531666643 0.618783391806141 0.0
2.3843897154046206e-16 0.7788007830714049 0.6065306597126334 0.0
-0.2382680435530547 0.7333136350781935 0.5945205479701943 0.0
-0.4487032086736876 0.6175869840758683 0.5827482523739898 0.0
-0.6114418909099633 0.44423853715010303 0.5712090638488149 0.0
-0.7116409418518534 0.23122615865340387 0.5598983665654022 0.0
-0.7408182206817179 2.72172198812371e-16 0.5488116360940265 0.0
-0.6975495070739566 -0.22664757394588322 0.5379444375946744 0.0
-0.5874669114416199 -0.42681969495829564 0.5272924240430487 0.0
-0.4225727680343317 -0.5816215180059127 0.5168513344916993 0.0
-0.21994912582538814 -0.6769338035688844 0.5066169923655894 0.0
-3.0204790471494983e-16 -0.7046880897187134 0.4965853037914095 0.0
0.21559384132902548 -0.6635296161747165 0.4867522559599716 0.0
0.40600345280074984 -0.558815812083824 0.47711391552103444 0.0
0.5532555018499958 -0.401963650946971 0.4676664270099091 0.0
0.6439193523939094 -0.20922208037831916 0.4584060113052235 0.0
0.6703200460356393 -3.2836211951274087e-16 0.4493289641172216 0.0
0.6311688949330557 0.205079205613306 0.4404316545059994 0.0
0.531562043330395 0.38620243075295996 0.43171052342907956 0.0
0.3823596523604932 0.5262729126266253 0.4231620823177489 0.0
0.1990181991111118 0.6125150350025306 0.4147829116815814 0.0
3.5139117371843157e-16 0.6376281516217733 0.40656965974059917 0.0
-0.1950773747326097 0.6003864246899218 0.39851904108451414 0.0
-0.36736711594591587 0.5056374565635946 0.39062783535852097 0.0
-0.5006062798081393 0.363711752067165 0.382892885975112 0.0
-0.5826423242434919 0.1893119670056314 0.3753110988513997 0.0
-0.6065306597126334 3.713929155009045e-16 0.36787944117144233 0.0
-0.5711052332358358 -0.1855633389000094 0.3605949401730782 0.0
-0.4809772268129936 -0.34945041028171975 0.35345468195878016 0.0
-0.34597332060299496 -0.47619142344334037 0.34645581033005746 0.0
-0.18007911342586397 -0.5542265227798955 0.33959552564493917 0.0
6.362608854569306e-16 -0.5769498103804866 0.3328710836980795 0.0
0.17651330807028784 -0.5432521023402699 0.3262797946230394 0.0
0.33240751266381785 -0.4575196906592739 0.3198190218163039 0.0
0.45296729367418387 -0.3291000026497888 0.3134861808826053 0.0
0.5271965763069515 -0.17129655142868436 0.3072787386011312 0.0
0.5488116360940264 -4.0326024808642285e-16 0.301194211912202 0.0
0.5167573846679377 0.16790465245241804 0.29523016692401427 0.0
0.43520619204356525 0.3161958069709179 0.2893842179390506 0.0
0.3130496061237413 0.4308758180793404 0.2836540264997704 0.0
0.16294232003446352 0.5014848958792085 0.27803730045319414 0.0
1.342898684216649e-15 0.522045776761016 0.2725317930340126 0.0
-0.1597158459233051 0.49155482962417674 0.26713530196585034 0.0
-0.3007747554944844 0.4139809355967483 0.26184566858032593 0.0
-0.4098617564628847 0.29778199667326233 0.2566607769535558 0.0
-0.4770271889029802 0.15499552931319308 0.2515785530597564 0.0
-0.49658530379140947 4.256991219542359e-16 0.24659696394160643 0.0
-0.46758141769395195 -0.151926412201271 0.24171401689703648 0.0
-0.3937908471219616 -0.2861057975733621 0.2369277586821218 0.0
-0.28325899732218157 -0.38987256272504117 0.23223627472975883 0.0
-0.14743630814877304 -0.45376229837137505 0.22763768838381276 0.0
-1.2729531967943352e-15 -0.4723665527410147 0.22313016014842982 0.0
0.14451687364467247 -0.44477720286024613 0.21871188695221477 0.0
0.2721522531720276 -0.3745854408814717 0.21438110142697797 0.0
0.37085825346955986 -0.26944429300742745 0.21013607120076472 0.0
0.4316320499399246 -0.14024575455086657 0.20597509820488347 0.0
0.44932896411722156 -4.4021542213628105e-16 0.20189651799465538 0.0
0.42308516270778945 0.1374687025476634 0.19789869908361463 0.0
0.35631669335602995 0.2588792311613985 0.19398004229089186 0.0
0.25630333977245634 0.35277128301918975 0.19013898010152047 0.0
0.13340588839008996 0.41058110646041773 0.18637397603941003 0.0
-3.1432395855794015e-16 0.4274149319487267 0.1826835240527347 0.0
-0.1307642748112744 0.4024510558373213 0.17906614791149322 0.0
