# re(H) im(H) re(|H|^2) im(|H|^2)
-0.07879924953095685 0.09380863039399624 0.0150093808630394 0.0
-0.07939665848958616 0.09584525290170746 0.015490141883104238 0.0
-0.07998799980132917 0.09793633159083279 0.01598960515768699 0.0
-0.08057239469064392 0.10008352266605791 0.01650862229543223 0.0
-0.08114890483074658 0.10228853550094105 0.017048089250156842 0.0
-0.08171652859519624 0.10455313422954401 0.01760894892287057 0.0
-0.08227419706762301 0.10687913936368935 0.018192193934244996 0.0
-0.08282076979300118 0.10926842943324029 0.01879886957991231 0.0
-0.08335503025262986 0.11172294264629878 0.019430076981965007 0.0
-0.0838756810436402 0.11424467856565274 0.02008697645110378 0.0
-0.0843813387423935 0.11683569979716023 0.020770791075050702 0.0
-0.08487052842955846 0.11949813368502929 0.021482810550117623 0.0
-0.08534167785294562 0.12223417400812521 0.022224395274204584 0.0
-0.08579311120232248 0.12504608267049855 0.02299698072101123 0.0
-0.08622304246841872 0.12793619137826107 0.02380208211688578 0.0
-0.08662956835614379 0.1309069032937284 0.024641299443525347 0.0
-0.08701066071966236 0.13396069465637167 0.02551632279168984 0.0
-0.08736415848438961 0.1371001163585618 0.026428938093216732 0.0
-0.08768775901815722 0.1403277954623125 0.027381033260939026 0.0
-0.08797900891074537 0.14364643664120894 0.028374604768633866 0.0
-0.08823529411764706 0.14705882352941177 0.029411764705882356 0.0
-0.08845382942031116 0.15056781995700455 0.030494748345722442 0.0
-0.08863164715116657 0.15417637104797038 0.031625922266250335 0.0
-0.08876558512743797 0.15788750415367808 0.03280779307089415 0.0
-0.08885227373308914 0.16170432959087103 0.03404301675597285 0.0
-0.08888812208314283 0.16563004114871335 0.03533440877839218 0.0
-0.08886930319908858 0.16966791632436928 0.03668495488094471 0.0
-0.08879173811806666 0.17382131624078484 0.03809782273770627 0.0
-0.08865107885196852 0.1780936851936868 0.03957637448748596 0.0
-0.08844269010547885 0.18248854976718976 0.04112418022922586 0.0
-0.08816162965436634 0.18700951744865588 0.042745032559692774 0.0
-0.08780262727696184 0.19166027466340924 0.04444296224079056 0.0
-0.08736006212271083 0.19644458413837093 0.04622225509138139 0.0
-0.08682793839191104 0.2013662814904133 0.048087470206665865 0.0
-0.08619985919021549 0.20642927091996457 0.050043459616961106 0.0
-0.08546899841017488 0.211637519872814 0.05209538950715422 0.0
-0.08462807047999307 0.21699505251280268 0.05424876312820067 0.0
-0.08366929780678674 0.2225059418247178 0.056509445542785475 0.0
-0.08258437572799562 0.2281743001397384 0.05888369035864219 0.0
-0.08136443477024341 0.23400426784464162 0.06137816861498797 0.0
-0.07999999999999999 0.24 0.064 0.0
-0.07848094723499258 0.24616565055101344 0.06675678659010535 0.0
-0.07679645586968287 0.25250535376653094 0.06965664931490509 0.0
-0.07493495805258404 0.25902320248619104 0.07270826736454486 0.0
-0.07288408393816999 0.2657232226912448 0.07592092076892709 0.0
-0.07063060272222114 0.2726093438401518 0.07930453638986233 0.0
-0.06816035915744265 0.2796853643238529 0.08286973757743789 0.0
-0.0654582052371234 0.286954911295909 0.08662789774970837 0.0
-0.0625079267298389 0.29442139401735734 0.0905911981591869 0.0
-0.05929216424951264 0.30208794972279174 0.09477269010911113 0.0
-0.05579232855482371 0.30995738086013175 0.09918636187524216 0.0
-0.051988509792933915 0.31803208237874697 0.10384721057265209 0.0
-0.04785938043856595 0.326313957535677 0.10877131917855899 0.0
-0.04338209173540429 0.3348043204538594 0.11397593887790959 0.0
-0.0385321635287098 0.34350378339547516 0.11947957683320876 0.0
-0.0332833674936523 0.35241212640337727 0.12530208938786747 0.0
-0.027607603922909032 0.36152814660952337 0.13146478058528124 0.0
-0.021474772451769472 0.37084948410686264 0.13799050571418142 0.0
-0.014852637384631632 0.3803724208259335 0.14490377936226037 0.0
-0.007706688662444111 0.39009164834593707 0.1522308871593901 0.0
0.0 0.4 0.16000000000000003 0.0
0.008306913645755266 0.41008814200563737 0.16824128902795385 0.0
0.01725623630424515 0.42034421766750996 0.17698703901789894 0.0
0.026892984911041855 0.4307534379690675 0.1862717569595968 0.0
0.03726513160475428 0.4412976111089319 0.19613227160396976 0.0
0.048423707440100876 0.4519546027742749 0.2066078184110971 0.0
0.060422878496940134 0.4626977182198115 0.21774010269167607 0.0
0.07331998280710972 0.4734949966016869 0.22957333168566638 0.0
0.08717551336691216 0.48430840759395594 0.24215420379697805 0.0
0.1020530286462173 0.4950929402242152 0.25553184011572394 0.0
0.11801896733403583 0.505795574288725 0.26975763962065336 0.0
0.1351423384676814 0.5163541258975965 0.28488503497798434 0.0
0.15349425148979715 0.526695960994402 0.3009691205682297 0.0
0.17314724311843468 0.536736574534757 0.31806611824281905 0.0
0.19417434923223387 0.54637803896516 0.33623263936317543 0.0
0.21664786042878223 0.555507334432775 0.35552469403697606 0.0
0.24063768987817732 0.5639945856519778 0.375996390434652 0.0
0.2662092722417024 0.5716912475778856 0.3976982591846161 0.0
