# re(FSC) im(FSC) re(|FSC|^2) im(|FSC|^2)
1.0 0.0 1.0 0.0
0.9996625442939799 0.01499606288599708 0.9995500843663943 0.0
0.9986507085647393 0.02996851235012668 0.9982013494493355 0.0
0.9969660859370189 0.04489378126125213 0.9959568281045125 0.0
0.9946113281484334 0.05974839497631719 0.9928215647834367 0.0
0.9915901403513915 0.07450901735112195 0.9888026001087221 0.0
0.9879072738504683 0.08915249647171053 0.9839089493538025 0.0
0.9835685167898864 0.10365591001412133 0.9781515749011127 0.0
0.9785806828098833 0.11799661014100232 0.9715433527734251 0.0
0.9729515976948547 0.13215226784453218 0.9640990333534235 0.0
0.9666900840402008 0.14610091664620736 0.9558351964265126 0.0
0.9598059439688118 0.15982099556535792 0.9467702007013641 0.0
0.9523099399320472 0.1732913912697343 0.9369241279815794 0.0
0.9442137736339423 0.1864914793231624 0.9263187221801912 0.0
0.9355300631211491 0.19940116444709224 0.9149773233863174 0.0
0.9262723180848192 0.21200091971486132 0.9029247972101716 0.0
0.9164549134242459 0.22427182459965192 0.890187459648699 0.0
0.9060930611255832 0.23619560179944482 0.8767929977293317 0.0
0.8952027805123547 0.24775465276474343 0.8627703862036297 0.0
0.8838008669277507 0.25893209185747 0.848149800575929 0.0
0.8719048589118705 0.2697117790722057 0.8329625267644232 0.0
0.8595330039400961 0.28007835125385316 0.817240867703362 0.0
0.8467042227916871 0.2900172517488472 0.8010180472052292 0.0
0.8334380726204424 0.2995147584302065 0.7843281114107828 0.0
0.8197547088018862 0.3085580100400093 0.7672058281627157 0.0
0.8056748456339023 0.3171350307962857 0.7496865846453734 0.0
0.7912197159700424 0.32523475321482426 0.7318062836384222 0.0
0.7764110298668853 0.33284703910001173 0.7136012387366021 0.0
0.7612709323288036 0.3399626986625215 0.6951080688906702 0.0
0.7458219602353059 0.3465735077254634 0.676363592626366 0.0
0.7300869985377682 0.35267222298447226 0.6574047222986964 0.0
0.714089235813827 0.3582525952911522 0.6382683587380215 0.0
0.6978521192689995 0.36330938093329235 0.618991286642366 0.0
0.6813993092761953 0.36783835088932504 0.5996100710670542 0.0
0.6647546335447112 0.3718362980385959 0.5801609553582108 0.0
0.6479420410110338 0.3753010423131503 0.5606797608708812 0.0
0.6309855555443256 0.37823143378090934 0.5412017888055436 0.0
0.6139092295598297 0.3806273536542909 0.5217617244886124 0.0
0.5967370976336072 0.38248971322253184 0.5023935444132358 0.0
0.5794931302119966 0.38382045071016513 0.48313042634625225 0.0
0.562201187508987 0.38462252606830766 0.4640046627956811 0.0
0.5448849736842998 0.38489991370958976 0.4450475781205897 0.0
0.5275679913943934 0.384657593201725 0.42628944955165843 0.0
0.5102734968078364 0.3839015379388441 0.40775943237630674 0.0
0.49302445517554494 0.3826387018138109 0.38948548952690143 0.0
0.4758434970452367 0.38087700391878226 0.37149432579438824 0.0
0.45875287520815 0.37862531130526145 0.35381132687275063 0.0
0.4417744224645667 0.37589341983882324 0.33646050342202727 0.0
0.4249295102930181 0.3726920331875391 0.3194644403193259 0.0
0.4082390085062088 0.36903273998691216 0.3028442512483803 0.0
0.39172324597468083 0.36492798922781383 0.2866195387587957 0.0
0.37540197249707186 0.3603910639175137 0.2708083599062897 0.0
0.3592943218934824 0.355436053067384 0.2554271975650176 0.0
0.34341877639598667 0.3500778220642476 0.24049093748256367 0.0
0.3277931324076744 0.34433198148560185 0.22601285112743602 0.0
0.3124344676988407 0.33821485442210697 0.21200458435802494 0.0
0.29735911010600863 0.3317434423737353 0.1984761519210132 0.0
0.2825826077964252 0.32493538978887115 0.18543593776627387 0.0
0.268119701157485 0.3178089473183896 0.17289070114440203 0.0
0.25398429636723957 0.31038293385934296 0.16084558843229507 0.0
0.24018944069873313 0.3026766974653284 0.14930415061168817 0.0
0.22674729960738763 0.2947100752029029 0.13826836630534306 0.0
0.21366913564703968 0.28650335203554184 0.12773867025575467 0.0
0.2009652892565168 0.2780772188185991 0.11771398711184251 0.0
0.18864516145484883 0.2694527294905273 0.10819177037022126 0.0
0.17671719847933137 0.26065125754723617 0.09916804629933904 0.0
0.16518887839671975 0.2516944518879165 0.09063746265712498 0.0
0.1540666997138247 0.24260419212192447 0.08259334199584147 0.0
0.14335617200972553 0.23340254342740804 0.07502773933166512 0.0
0.13306180860771671 0.22411171105326275 0.06793150394117776 0.0
0.12318712130095971 0.214753994556717 0.0612943450324838 0.0
0.11373461714165412 0.2053517418693849 0.05510490102514913 0.0
