# re(z) im(z) re(Sx) im(Sx)
1.0 -0.0 1.0 0.0
0.9987502603949664 -0.04997916927067833 0.9987502603949664 0.0
0.9950041652780258 -0.09983341664682815 0.9950041652780258 0.0
0.9887710779360425 -0.14943813247359924 0.9887710779360425 0.0
0.9800665778412417 -0.19866933079506124 0.9800665778412417 0.0
0.9689124217106447 -0.24740395925452294 0.9689124217106447 0.0
0.9553364891256059 -0.2955202066613396 0.9553364891256059 0.0
0.9393727128473789 -0.3428978074554514 0.9393727128473789 0.0
0.9210609940028851 -0.38941834230865047 0.9210609940028851 0.0
0.900447102352677 -0.43496553411123023 0.900447102352677 0.0
0.8775825618903726 -0.479425538604203 0.8775825618903726 0.0
0.8525245220595058 -0.5226872289306592 0.8525245220595058 0.0
0.8253356149096782 -0.5646424733950354 0.8253356149096782 0.0
0.7960837985490559 -0.6051864057360395 0.7960837985490559 0.0
0.7648421872844884 -0.6442176872376911 0.7648421872844884 0.0
0.7316888688738208 -0.6816387600233342 0.7316888688738208 0.0
0.6967067093471655 -0.7173560908995228 0.6967067093471655 0.0
0.6599831458849822 -0.7512804051402928 0.6599831458849822 0.0
0.6216099682706644 -0.7833269096274834 0.6216099682706644 0.0
0.5816830894638834 -0.8134155047893737 0.5816830894638834 0.0
0.5403023058681398 -0.8414709848078965 0.5403023058681398 0.0
0.4975710478917268 -0.867423225594017 0.4975710478917268 0.0
0.45359612142557726 -0.8912073600614354 0.45359612142557726 0.0
0.4084874408841572 -0.9127639402605211 0.4084874408841572 0.0
0.36235775447667334 -0.9320390859672265 0.36235775447667334 0.0
0.3153223623952687 -0.9489846193555863 0.3153223623952687 0.0
0.2674988286245875 -0.963558185417193 0.2674988286245875 0.0
0.21900668709304144 -0.9757233578266591 0.21900668709304144 0.0
0.16996714290024073 -0.9854497299884603 0.16996714290024073 0.0
0.12050276936736631 -0.9927129910375886 0.12050276936736631 0.0
0.07073720166770286 -0.9974949866040546 0.07073720166770286 0.0
0.020794827803092497 -0.999783764189357 0.020794827803092497 0.0
-0.02919952230128886 -0.9995736030415051 -0.02919952230128886 0.0
