# re(S) im(S) re(|S|^2) im(|S|^2)
0.1223819625813167 0.06380375912929226 0.019048264444283546 0.0
0.12314055763318973 0.07391136147492834 0.020626486289290445 0.0
0.12324852260760755 0.08442399136694308 0.022317608643283627 0.0
0.12265583994472458 0.09530801287950198 0.02412807239158521 0.0
0.12131355407780893 0.10652496134743089 0.026064545793061118 0.0
0.1191741906116959 0.11803149170052712 0.02813392074100443 0.0
0.11619219120053893 0.12977936082814961 0.030343307792945654 0.0
0.11232436152845812 0.14171544623869056 0.032700029895406955 0.0
0.10753032952461353 0.15378180309656952 0.035211614731304054 0.0
0.10177301068295201 0.1659157615072357 0.03788578561999818 0.0
0.09501907710961624 0.17805006567868306 0.040730450902946545 0.0
0.08723942669099696 0.19011305631687625 0.043753691751517595 0.0
0.07840964856591576 0.2020288973132926 0.04696374833785534 0.0
0.06851048089963413 0.21371784745690947 0.05036900431471396 0.0
0.057528256798466085 0.2250965775521417 0.053977969555957614 0.0
0.04545533407471152 0.23607853295058148 0.05779926111594242 0.0
0.032290504475350076 0.24657434111034895 0.061841582373275326 0.0
0.01803937792707626 0.25649226338523506 0.06611370033247668 0.0
0.002714737327325592 0.2657386898197201 0.07062442106585778 0.0
-0.013663140571922576 0.2742186752888246 0.07538256328744594 0.0
-0.03106620258164318 0.2818365148773097 0.08039693006103171 0.0
-0.04945837908600497 0.28849635594498046 0.08567627865534784 0.0
-0.06879539078944959 0.29410284387797236 0.09122928857098407 0.0
-0.08902460615192363 0.2985617980843322 0.09706452777585467 0.0
-0.11008495322499978 0.3017809143605132 0.10319041719881779 0.0
-0.13190688931739278 0.303670489338276 0.10961519354433891 0.0
-0.15441243158909568 0.3041441623236787 0.11634687050482936 0.0
-0.17751525130012485 0.30311966946613206 0.12339319846140363 0.0
-0.20112083402427103 0.30051960485064305 0.13076162277820502 0.0
-0.22512670768241708 0.29627218279502493 0.13845924081005315 0.0
-0.24942273975652807 0.2903119953605674 0.14649275775788684 0.0
