# re(V) im(V) re(|V|^2) im(|V|^2)
0.00127776 -0.0 1.6326706176e-06 0.0
0.0012771295025729172 -9.364929354589481e-05 1.6398299565237922e-06 0.0
0.0012752386325165085 -0.00018720616654547607 1.6612797186552272e-06 0.0
0.0012720892558912315 -0.0002805782896603513 1.696935251582635e-06 0.0
0.0012676844807515872 -0.0003736735158779593 1.746655839207017e-06 0.0
0.0012620286540788433 -0.00046639997144954596 1.810245257084194e-06 0.0
0.0012551273574910894 -0.0005586661465584628 1.887452546833047e-06 0.0
0.0012469874017348541 -0.0006503809856293078 1.9779730065535924e-06 0.0
0.0012376168199637197 -0.0007414539771887847 2.0814493933461773e-06 0.0
0.0012270248598105708 -0.0008317952431895997 2.197473333185996e-06 0.0
0.0012152219742612954 -0.0009213156277092432 2.325586932588797e-06 0.0
0.0012022198113389511 -0.0010099267849361215 2.4652845857072744e-06 0.0
0.0011880312026085723 -0.0010975412663562062 2.6160149697263557e-06 0.0
0.001172670150513964 -0.0011840726070541604 2.777183220682479e-06 0.0
0.0011561518145589813 -0.0012694354110437704 2.948153281119891e-06 0.0
0.001138492496346929 -0.0013535454355434742 3.128250410318835e-06 0.0
0.0011197096234928472 -0.0014363196741138183 3.316763847188919e-06 0.0
0.0010998217324245591 -0.001517676438574787 3.512949615318408e-06 0.0
0.001078848450089455 -0.0015975354396221798 3.7160334591092503e-06 0.0
0.0010568104745850642 -0.0016758178660634564 3.925213899410186e-06 0.0
0.0010337295547325329 -0.0017524464625948712 4.139665396588798e-06 0.0
0.0010096284686131622 -0.0018273456060431301 4.358541608559294e-06 0.0
0.0009845310010891924 -0.0019004413799963331 4.5809787309080545e-06 0.0
0.000958461920331016 -0.0019716616477505485 4.806098905935027e-06 0.0
0.0009314469533739829 -0.0020409361235000294 5.033013687157001e-06 0.0
0.000903512760728923 -0.00210819644170082 5.260827545599999e-06 0.0
0.0008746869100714412 -0.0021733762245392933 5.488641404042998e-06 0.0
0.0008449978490359495 -0.0022364111474390373 5.715556185264974e-06 0.0
0.0008144748771412857 -0.002297239002541449 5.940676360291943e-06 0.0
0.0007831481168756272 -0.0023557997600973783 6.163113482640706e-06 0.0
0.0007510484839692306 -0.002412035627709243 6.381989694611201e-06 0.0
0.0007182076568843386 -0.002465891107365149 6.5964411917898126e-06 0.0
0.0006846580455523627 -0.0025173130502087276 6.805621632090749e-06 0.0
0.0006504327593891943 -0.002566250708990638 7.0087054758815936e-06 0.0
0.0006155655746202075 -0.002612655788149977 7.204891244011084e-06 0.0
0.0005800909009472034 -0.0026564824914761674 7.393404680881164e-06 0.0
0.0005440437475901873 -0.0026976875673042897 7.573501810080112e-06 0.0
0.0005074596887374973 -0.002736230351199249 7.744471870517523e-06 0.0
0.0004703748284383743 -0.0027720728060866683 7.905640121473646e-06 0.0
0.0004328257649726237 -0.0028051795597908856 8.056370505492725e-06 0.0
0.00039484955473253287 -0.0028355179399430224 8.1960681586112e-06 0.0
0.0003564836756526859 -0.002863058006224665 8.324181758014003e-06 0.0
0.00031776599022376477 -0.002887772579915346 8.440205697853823e-06 0.0
0.00027873470812684643 -0.002909637270714659 8.543682084646408e-06 0.0
0.00023942834852505566 -0.0029286305008125414 8.634202544366953e-06 0.0
0.00019988570204980548 -0.0029447335261839677 8.711409834115807e-06 0.0
0.00016014579251912568 -0.0029579304550870367 8.774999251992983e-06 0.0
0.0001202478384258648 -0.002968208263746207 8.824719839617368e-06 0.0
8.023121423377566e-05 -0.002975556809205186 8.860375372544773e-06 0.0
4.013541151966934e-05 -0.002979968839336807 8.881825134676211e-06 0.0
7.824023470392611e-20 -0.00298144 8.8889844736e-06 0.0
-4.013541151966919e-05 -0.002979968839336807 8.881825134676211e-06 0.0
-8.023121423377549e-05 -0.002975556809205186 8.860375372544773e-06 0.0
-0.00012024783842586494 -0.002968208263746207 8.824719839617368e-06 0.0
-0.00016014579251912527 -0.002957930455087037 8.774999251992985e-06 0.0
-0.00019988570204980532 -0.0029447335261839677 8.711409834115807e-06 0.0
-0.0002394283485250555 -0.002928630500812542 8.634202544366953e-06 0.0
-0.00027873470812684594 -0.002909637270714659 8.543682084646408e-06 0.0
-0.000317765990223765 -0.002887772579915346 8.440205697853823e-06 0.0
-0.0003564836756526855 -0.0028630580062246652 8.324181758014003e-06 0.0
-0.00039484955473253244 -0.002835517939943023 8.196068158611204e-06 0.0
-0.00043282576497262357 -0.0028051795597908856 8.056370505492725e-06 0.0
-0.00047037482843837386 -0.0027720728060866688 7.905640121473648e-06 0.0
-0.0005074596887374974 -0.002736230351199249 7.744471870517523e-06 0.0
-0.0005440437475901873 -0.0026976875673042893 7.57350181008011e-06 0.0
-0.0005800909009472032 -0.0026564824914761674 7.3934046808811636e-06 0.0
-0.000615565574620208 -0.0026126557881499765 7.204891244011081e-06 0.0
-0.0006504327593891945 -0.002566250708990638 7.0087054758815936e-06 0.0
-0.0006846580455523631 -0.0025173130502087276 6.80562163209075e-06 0.0
