# re(S) im(S) re(|S|^2) im(|S|^2)
0.975609756097561 0.21951219512195122 0.9999999999999999 0.0
0.9750654531853884 0.2219174666500436 1.0 0.0
0.974502804691484 0.22437531871494135 1.0 0.0
0.9739209805711305 0.22688746903116444 1.0 0.0
0.9733191035218783 0.2294557097118463 1.0 0.0
0.9726962457337884 0.23208191126279865 1.0 0.0
0.9720514253773057 0.23476802683063164 0.9999999999999999 0.0
0.9713836028044069 0.2375160967234225 1.0 0.0
0.9706916764361079 0.24032825322391563 1.0 0.0
0.9699744783065606 0.24320672571685933 1.0 0.0
0.9692307692307692 0.24615384615384617 1.0 0.0
0.9684592335593755 0.24917205488093358 1.0 0.0
0.9676584734799483 0.2522639068564036 1.0 0.0
0.9668270028197048 0.25543207828827336 1.0 0.0
0.9659632402995235 0.25867937372362154 1.0 0.0
0.9650655021834061 0.26200873362445415 1.0 0.0
0.9641319942611191 0.26542324246771876 0.9999999999999999 0.0
0.9631608030944926 0.2689261374102045 1.0 0.0
0.9621498864496594 0.27252081756245267 1.0 0.0
0.9610970628282435 0.2762108539194709 0.9999999999999999 0.0
0.96 0.27999999999999997 1.0 0.0
0.958856202427484 0.28389220325036 1.0 0.0
0.9576629974597799 0.28789161727349705 1.0 0.0
0.956417520156897 0.2920026149487906 1.0 0.0
0.9551166965888689 0.29622980251346503 0.9999999999999999 0.0
0.953757225433526 0.3005780346820809 1.0 0.0
0.9523355576739753 0.3050524308865586 1.0 0.0
0.9508478741705579 0.30965839272548534 1.0000000000000002 0.0
0.949290060851927 0.3144016227180528 1.0 0.0
0.9476576812352787 0.3192881444647998 1.0 0.0
0.9459459459459459 0.3243243243243243 1.0 0.0
0.9441496788606535 0.3295168947221447 1.0000000000000002 0.0
0.9422632794457275 0.3348729792147806 1.0000000000000002 0.0
0.9402806808002389 0.34040011943863846 1.0 0.0
0.9381953028430161 0.34610630407911 1.0000000000000002 0.0
0.9359999999999999 0.35200000000000004 0.9999999999999999 0.0
0.9336870026525199 0.35809018567639256 1.0 0.0
0.9312478514953593 0.3643863870745961 1.0 0.0
0.9286733238231099 0.37089871611982883 1.0 0.0
0.9259533506108848 0.37763791188448725 0.9999999999999999 0.0
0.9230769230769231 0.3846153846153846 1.0 0.0
0.9200319872051179 0.3918432626949221 1.0 0.0
0.9168053244592346 0.3993344425956739 1.0 0.0
0.913382416630576 0.4071026418362928 1.0 0.0
0.9097472924187725 0.4151624548736462 0.9999999999999999 0.0
0.9058823529411765 0.4235294117647059 1.0 0.0
0.9017681728880157 0.4322200392927309 1.0 0.0
0.8973832734735762 0.44125192406362235 0.9999999999999999 0.0
0.8927038626609441 0.4506437768240344 0.9999999999999999 0.0
0.8877035373385738 0.4604154969118473 1.0 0.0
0.8823529411764706 0.47058823529411764 1.0 0.0
0.8766193707587908 0.4811844540407157 1.0 0.0
0.8704663212435233 0.49222797927461137 0.9999999999999999 0.0
0.8638529611980938 0.5037440435670525 0.9999999999999999 0.0
0.8567335243553008 0.515759312320917 1.0 0.0
0.8490566037735849 0.5283018867924528 1.0 0.0
0.840764331210191 0.5414012738853504 1.0 0.0
0.8317914213624895 0.5550883095037847 1.0 0.0
0.8220640569395017 0.5693950177935945 1.0 0.0
0.8114985862393967 0.58435438265787 1.0 0.0
0.8 0.6 1.0 0.0
0.7874601487778958 0.6163655685441021 1.0 0.0
0.7737556561085973 0.6334841628959276 1.0 0.0
0.7587454764776839 0.6513872135102535 1.0000000000000002 0.0
0.7422680412371133 0.6701030927835052 1.0 0.0
0.7241379310344828 0.6896551724137931 1.0 0.0
0.7041420118343195 0.7100591715976332 1.0 0.0
0.6820349761526232 0.7313195548489666 1.0 0.0
0.6575342465753422 0.7534246575342468 1.0 0.0
0.6303142329020331 0.7763401109057302 1.0 0.0
0.6 0.8 1.0 0.0
0.5661605206073748 0.8242950108459873 1.0 0.0
0.5283018867924532 0.8490566037735847 1.0 0.0
0.4858611825192799 0.8740359897172238 1.0 0.0
0.4382022471910111 0.8988764044943822 1.0000000000000002 0.0
0.3846153846153846 0.9230769230769231 1.0 0.0
0.32432432432432345 0.9459459459459463 1.0 0.0
0.25650557620817893 0.9665427509293679 1.0 0.0
0.18032786885245855 0.9836065573770493 1.0 0.0
0.09502262443438869 0.9954751131221721 1.0000000000000002 0.0
0.0 1.0 1.0 0.0
-0.10497237569060736 0.994475138121547 1.0 0.0
-0.21951219512195252 0.9756097560975606 0.9999999999999999 0.0
-0.3422818791946316 0.9395973154362413 0.9999999999999999 0.0
-0.470588235294118 0.8823529411764703 0.9999999999999999 0.0
-0.6000000000000001 0.8 1.0000000000000002 0.0
-0.7241379310344822 0.6896551724137935 0.9999999999999997 0.0
-0.8348623853211019 0.5504587155963286 0.9999999999999998 0.0
-0.9230769230769234 0.3846153846153833 0.9999999999999994 0.0
-0.9801980198019802 0.1980198019801973 0.9999999999999997 0.0
-1.0 -0.0 1.0 0.0
-0.9801980198019802 -0.1980198019801973 0.9999999999999997 0.0
-0.9230769230769222 -0.38461538461538647 0.9999999999999999 0.0
-0.8348623853211001 -0.5504587155963313 0.9999999999999999 0.0
-0.7241379310344822 -0.6896551724137935 0.9999999999999997 0.0
-0.6000000000000001 -0.8 1.0000000000000002 0.0
-0.47058823529411575 -0.8823529411764716 1.0 0.0
-0.3422818791946294 -0.939597315436242 0.9999999999999998 0.0
-0.2195121951219503 -0.9756097560975611 0.9999999999999998 0.0
-0.10497237569060736 -0.994475138121547 1.0 0.0
0.0 -1.0 1.0 0.0
0.09502262443439036 -0.9954751131221719 1.0 0.0
0.18032786885245988 -0.983606557377049 1.0 0.0
0.25650557620817893 -0.9665427509293679 1.0 0.0
0.32432432432432456 -0.9459459459459459 1.0000000000000002 0.0
0.3846153846153846 -0.9230769230769231 1.0 0.0
0.438202247191012 -0.8988764044943817 1.0 0.0
