# re(psi_t) im(psi_t) re(psi_t+dt) im(psi_t+dt)
1.0 -0.0 0.9851037084132392 -0.09884005755380365
0.9937689726899325 -0.04972989712400837 0.9740501944089855 -0.14721328853172677
0.9851037084132392 -0.09884005755380365 0.9606599593522768 -0.1947354144720599
0.9740501944089855 -0.14721328853172677 0.9449898887817676 -0.24129553373598994
0.9606599593522768 -0.1947354144720599 0.9271020289078572 -0.2867862646278291
0.9449898887817676 -0.24129553373598994 0.9070633794099927 -0.33110398010182795
0.9271020289078572 -0.2867862646278291 0.8849456758531132 -0.3741490307023557
0.9070633794099927 -0.331103980101828 0.8608251623730706 -0.41582595529452543
0.8849456758531132 -0.3741490307023557 0.8347823552988415 -0.4560436791774209
0.8608251623730706 -0.4158259552945254 0.8069017983954643 -0.4947156992078315
0.8347823552988415 -0.4560436791774209 0.7772718104258823 -0.5317602555987321
0.8069017983954643 -0.4947156992078315 0.7459842257422116 -0.5671004900935587
0.7772718104258822 -0.5317602555987322 0.7131341286274048 -0.6006645902545263
0.7459842257422116 -0.5671004900935587 0.6788195821167939 -0.6323859196407199
0.7131341286274048 -0.6006645902545263 0.6431413520356111 -0.6622031336893669
0.6788195821167939 -0.6323859196407199 0.6062026269932753 -0.6900602811514627
0.6431413520356111 -0.6622031336893669 0.5681087350780188 -0.7159068909706942
0.6062026269932752 -0.6900602811514627 0.5289668579963185 -0.7396980445322705
0.5681087350780188 -0.7159068909706942 0.48888574340060287 -0.7613944332457532
0.5289668579963185 -0.7396980445322705 0.447975416145867 -0.7809624014631719
0.48888574340060287 -0.7613944332457532 0.4063468892111411 -0.7983739747705377
0.447975416145867 -0.7809624014631719 0.3641118750152809 -0.8136068737272261
0.4063468892111411 -0.7983739747705377 0.3213824978482997 -0.8266445131635127
0.3641118750152809 -0.8136068737272261 0.2782710081294817 -0.8374759871817261
0.3213824978482997 -0.8266445131635127 0.2348894991918522 -0.8460960400409443
0.2782710081294819 -0.8374759871817261 0.19134962727927282 -0.8525050231388297
0.2348894991918524 -0.8460960400409442 0.14776233542753003 -0.8567088383369975
0.19134962727927282 -0.8525050231388297 0.10423758188435407 -0.8587188679081575
0.14776233542753003 -0.8567088383369975 0.0608840737053796 -0.8585518914141158
0.10423758188435407 -0.8587188679081575 0.01780900614372639 -0.8562299898534633
0.06088407370537979 -0.8585518914141158 -0.024882191569823638 -0.8517804374463959
0.01780900614372658 -0.8562299898534633 -0.06708610348106987 -0.8452355814514988
-0.024882191569823638 -0.8517804374463959 -0.10870156664928778 -0.8366327104354694
